"","Message","Type","Likes","Comments","Reactions","Date","Time"
"129","Antibiotic resistant bacteria threatens the effective treatment of illnesses like malaria and HIV.  Last week the Science and Technology Committee heard from the Government and experts on what is being done to tackle antimicrobial resistance. Watch the session: https://goo.gl/mSW9lh","photo",5,1,5,2016-12-08,"14:00"
"130","The Women and Equalities Committee is holding a new inquiry into the inequalities faced by the Gypsy Roma and Traveller communities.   (Source: Traveller Movement)","link",3,1,3,2016-12-08,"16:04"
"131","Today marks International Anti-Corruption Day. The International Development Committee has recently published its report on tackling corruption. Brush up on your knowledge of corruption and read the report: https://goo.gl/4DVoLS","photo",8,5,12,2016-12-09,"14:20"
"132","Today is Human Rights Day  the anniversary of the United Nations Declaration of Human Rights. Find out more about Human Rights Day in the video below  and follow the work of the Joint Committee on Human Rights on their website: goo.gl/Po9IZp","video",31,5,33,2016-12-10,"09:35"
"133","Secretary of State for Defence  Michael Fallon  responds to questions from Jonathan Reynolds and other MPs on the discussions he has had with the incoming US administration on its policy on Article 5 of the NATO Treaty. Watch the full discussion https://goo.gl/prc40v","video",1,3,3,2016-12-12,"16:41"
"134","Minister of State for Digital and Culture  Matt Hancock  responds to an Urgent Question from Kevin Brennan MP on 21st Century Fox’s bid to take over the remaining 61% of Sky. Watch the full discussion https://goo.gl/74kujk","video",7,3,8,2016-12-12,"17:00"
"135","What are your priorities for higher education after Brexit?   The Education Committee want to hear them.   https://goo.gl/cXiH1s","video",4,2,4,2016-12-13,"15:51"
"136","“Finally  I say to the Foreign Secretary  will he intensify the efforts of his office to collect evidence  especially now  of breaches of international humanitarian law and war crimes so that individuals as well as states  no matter how long it takes  can be held to account one day for what they have done?”  - Andrew Mitchell  MP for Sutton Coldfield  Today  an emergency debate was held to discuss international action to protect civilians in Aleppo and Syria. Watch the full debate https://goo.gl/E3MfbN","video",7,2,8,2016-12-13,"17:23"
"137","What do you think the Science and Technology Committee should examine next?  The Committee wants to hear your ideas for a future inquiry. Past inquiries have examined Robotics & AI  Regenerative Medicine and Digital Skills.  Share your ideas at www.parliament.uk/myscienceinquiry or Tweet a short video with #MyScienceInquiry","video",2,6,3,2016-12-14,"12:30"
"138","Select Committees challenge Government departments to perform better. Which one should you be following? Like our page to keep up to date with their work.","video",12,2,14,2016-12-19,"15:50"
"139","Sarah Olney  MP for Richmond Park  made her maiden speech in the House of Commons on Monday 19 December during the General Debate on exiting the EU and science and research.","video",11,3,12,2016-12-20,"11:28"
"140","The Liaison Committee questioned Prime Minister Theresa May today on #Brexit  #SocialCare and #NHS funding. Watch the whole session here: https://goo.gl/PUVmHP","video",33,18,37,2016-12-20,"17:32"
"141","Will leaving the EU threaten the future of our natural environment? The Environmental Audit Committee has called on the Government to introduce a new environmental protection act  to maintain levels of environmental protection after leaving the EU. Find out more about its latest report: https://goo.gl/9awjHL","video",9,3,9,2017-01-04,"16:48"
"142","Hate Crime is on the rise in the UK. The Home Affairs Committee are examining hate crime and its violent consequences  hearing from experts and discussing race  religion  gender identity  disability and sexual orientation.  Catch up on the latest in this inquiry  and find out more about it  on the Home Affairs Committee website: goo.gl/Kwv7CV","video",6,0,8,2017-01-09,"13:35"
"143","MPs question the Minister for Courts and Justice  Sir Oliver Heald QC  on the emergency review to determine how to ban perpetrators of domestic violence from directly cross-examining their victims within the family court. Watch the full video https://goo.gl/EiQyUd","video",11,3,11,2017-01-09,"16:23"
"144","MPs debated the decommissioning of in vitro fertilisation and other NHS fertility services on Thursday 19 January at 1.30pm and invited the public to share their views and comments on Facebook ahead of the debate.   On Monday 16 January from 4.30 – 5.30pm  Steve McCabe MP  co-sponsor of the debate  joined the discussion and responded to comments and questions.   Read Commons Hansard: https://goo.gl/Qjjodi Watch the Westminster Hall debate: https://goo.gl/TAqWkc","event",7,0,7,2017-01-09,"16:41"
"145","What percentage of MPs are women? And how can this be maintained after the boundary review?   The Women and Equalities Committee is publishing its report today.   Read it here: https://goo.gl/wXnUGG","video",5,8,7,2017-01-10,"08:00"
"146","Financial Secretary to the Treasury  Jane Ellison  responds to questions from John McDonnell and other MPs on the National Audit Office report into the government s management of the HMRC estate. Watch the full video https://goo.gl/0xnZFc","video",6,1,6,2017-01-10,"13:44"
"147","The NHS was given less money than it asked for by the Government in recent funding negotiations  NHS England Chief Executive Simon Stevens told the Public Accounts Committee today.   Find out more: https://goo.gl/ci2VvE","video",4,1,5,2017-01-11,"17:29"
"148","Is there a simpler alternative to the benefits system? The Work and Pensions Committee is looking at Citizen s Income  or Universal Basic Income. This would involve an unconditional payment to everyone from the Government. Could this remove the stigma around benefits  and even prove cheaper? Follow the session live  today from 11am: https://goo.gl/ezGAN1","video",5,2,5,2017-01-12,"11:05"
"149","Which Committee investigates the issue you most care about?  Follow the Committee you re most interested on Twitter: https://twitter.com/HouseofCommons/lists/commons-committees","video",12,9,12,2017-01-13,"14:47"
"150","How effective is the British Transport Police in tackling crime on the railway? The Transport Committee are holding a session in its inquiry into rail safety  and are hearing from the British Transport Police today at 4.05pm.   Find out more information and watch live: https://goo.gl/QCuAWl","photo",0,0,0,2017-01-16,"12:28"
"151","Many fathers do not feel sufficiently supported in the workplace to  fulfill their caring responsibilities.  The Women and Equalities Committee has launched a new inquiry into fatherhood and the workplace.","link",2,0,3,2017-01-17,"09:16"
"152","Are the police equipped to deal with changing patterns of crime using new technology? What should the role of digital technology be in policing?  The Home Affairs Committee is examining the future of policing  exploring the challenges and opportunities that will be presented by new technologies. Find out more about the inquiry on the Home Affairs Committee website: goo.gl/MXygQO","link",3,0,4,2017-01-17,"13:15"
"153","…we have been concerned by numerous reports alleging widespread human rights violations in the security reponse…  - Alok Sharma  Minister for Asia and the Pacific.  Watch MPs question the Minister about human rights in Burma https://goo.gl/UUAKlP","video",7,1,7,2017-01-18,"16:17"
"154","How can food waste by retailers  and the food and hospitality sector be reduced? The Environment  Food and Rural Affairs Committee is examining this issue  hearing about existing initiatives and the social  environmental and economic implications of surplus food being wasted. Follow the inquiry on its website: https://goo.gl/2HEv5l","video",9,0,9,2017-01-18,"17:00"
"155","1.66 million people now work in temporary jobs. Some workers  such as cycle couriers and minicab drivers  are fighting for things like sick pay and a national living wage.   Have changes to the job market affected the way you work? Do you value the flexibility offered by working patterns like zero hours contracts?  Share your experiences in the Business  Energy and Industrial Strategy Committee s forum: https://goo.gl/13qSOe","photo",6,1,6,2017-01-19,"17:00"
"156","The events we remember today are hard to even imagine due to the sheer scale of human suffering it involves.  - Peter Kyle  MP for Hove. Watch the debate in full https://goo.gl/cZTxXW","video",5,0,5,2017-01-19,"18:03"
"157","How can rail services in Wales be improved?   Read the Welsh Affairs Committee s new report.","link",0,1,0,2017-01-20,"08:41"
"158","There will be an 8% per pupil reduction in schools funding over this parliament. Today the Public Accounts Committee examines how schools will make the necessary £3billion savings  and whether education chiefs have worked out the budget correctly. Watch live at 4.00pm: https://goo.gl/NpmezD","video",4,0,9,2017-01-23,"14:00"
"159","Watch the Secretary of State for Defence Sir Michael Fallon respond to questions from MPs on the test firing of a Trident nuclear missile in June 2016.  View the full video https://goo.gl/8ftCYl","video",8,2,11,2017-01-23,"16:19"
"160","Following today s Supreme Court ruling  Secretary of State for Exiting the EU  David Davis  made a statement in the House of Commons on the process for triggering Article 50. Watch the debate in full https://goo.gl/uPCDZP","video",11,0,11,2017-01-24,"13:06"
"161","The Health Committee is questioning Jeremy Hunt on the impact of Brexit on health and social care.   Watch live from 2.30pm.","link",4,0,4,2017-01-24,"14:29"
"162","Whilst taking questions on the impact of Brexit Jeremy Hunt has told the Health Committee that he is seeking a reciprocal arrangement with the EU to ensure that the 90 000 EU nationals working in social care can remain in the UK.   Watch the full session here: https://goo.gl/QKIVwh","video",12,0,12,2017-01-25,"11:22"
"163","Tell the Business  Energy and Industrial Strategy Committee your experiences of work and employment conditions: https://goo.gl/h1bmxL The Committee wants to hear views on agency work  being self-employed  working casual hours and in the gig economy. Your views will help shape the Committee s recommendations to Government. Contribute to the forum.","video",3,1,4,2017-01-25,"13:00"
"164","Is UK business making progress on its responsibility to protect human rights? The Joint Committee on Human Rights is questioning Mulberry  ASOS  Next and Marks and Spencer on business and human rights today at 3.15pm. Watch live: https://goo.gl/Nd93bc","link",4,0,4,2017-01-25,"15:00"
"165","The  Article 50 Bill  has been introduced to the House of Commons. What happens next?","link",24,6,33,2017-01-26,"13:47"
"166","Minister for the Middle East and Africa  Tobias Ellwood  responds to questions from Tasmina Ahmed-Sheikh and other MPs on the situation in Yemen.  Watch the full video https://goo.gl/a37WBt","video",7,0,7,2017-01-26,"16:39"
"167","The International Development Committee questioned Gordon Brown  UN Special Envoy for Global Education  on the Department for International Development s work on education this afternoon. Watch the full session on parliamentlive.tv: https://goo.gl/IQ3vbJ","video",7,1,7,2017-01-26,"17:45"
"168","HM Revenue & Customs must do more to give the public confidence that there isn t one set of rules for the rich  and another for everyone else. The Public Accounts Committee has published a new report on the taxation of high net worth individuals. Read about the report: https://goo.gl/oAIYCn","link",7,1,7,2017-01-27,"10:00"
"169","How much do you know about UK Prime Ministers and US Presidents?","link",18,1,18,2017-01-27,"10:00"
"170","What impact does fake news have on public understanding of the world  and also on the public response to traditional journalism?  The Culture  Media and Sport Committee have launched an inquiry to find out.","link",10,5,11,2017-01-30,"09:00"
"171","There were an estimated 13 000 victims of modern slavery in the UK in 2014. What support exists for these victims? The Work and Pensions Committee is hearing from Damian Hinds MP  the Minister for Employment  today at 3.45. Find out more: https://goo.gl/6NMI4v  Watch Aidan McQuade  Director of Anti-Slavery International  explain the problem of modern slavery:","video",8,1,8,2017-01-30,"15:03"
"172","“I am able to provide the following clarification. The general principle is that all British passport holders remain welcome to travel to the US. We have received assurances from the US embassy that this executive order will make no difference to any British passport holders irrespective to their country of birth or whether they hold another passport.”  Watch Boris Johnson make a statement on the implications of recent changes to the US immigration policy: https://goo.gl/1E0dHh","video",49,21,52,2017-01-30,"17:25"
"173","The Government has promised to deliver a  blue belt  of Marine Protected Areas around the UK and its Overseas Territories. These are areas where human activity is limited to help conservation efforts. Is the Government in a position to deliver on this promise?  The House of Commons Environmental Audit Committee is asking Government Ministers and Marine Management Agencies this morning.   Watch the session live: https://goo.gl/N1xVaI","link",7,0,8,2017-01-31,"10:27"
"174","The Home Affairs Committee has published a report on asylum accomodation. The Committee says the current contract system for asylum accommodation isn t working and major reforms are needed. It also brands the state of some asylum accommodation provided by Government contractors a  disgrace  and says it is  shameful  that very vulnerable people have been placed in these conditions. Read the full report: https://goo.gl/5I41Es","link",6,2,6,2017-01-31,"18:18"
"175","What is the next big issue in science and technology? The House of Commons Science and Technologu Committee asked for your ideas for #MyScienceInquiry  and this morning the Committee of MPs will hear from nine of members of the public.  Pitches to the Committee will include subjects like human embryo research and science in schools.   Follow the session from 9.30: https://goo.gl/pkALcT","video",6,0,6,2017-02-01,"09:00"
"176","Ivan Rogers  former Permanent Representative of the UK to the European Union  tells the European Scrutiny Committee how he would choose to approach Brexit negotiations.   Watch the full session here: https://goo.gl/2iR23f","video",8,4,9,2017-02-01,"13:01"
"177","Are men being failed in the workplace? Do fathers have the financial support to enable them to fulfill their caring responsibilities?   Tell the Women and Equalities Committee your views here: goo.gl/4MUOb3","video",4,0,4,2017-02-01,"16:45"
"178","What will trade deals after Brexit mean for the UK s public services like the NHS? Minister for International Trade Dr Liam Fox MP was challenged today by the International Trade Committee on the UK s trade outside of the EU.   Find out more about the session: https://goo.gl/ZAYLBw","video",14,6,15,2017-02-01,"18:00"
"179","What are the inequalities faced by the Gypsy  Roma and Traveller communities today?  The Women and Equalities Committee is holding an inquiry. Find out more: https://goo.gl/HR6caH","video",5,2,5,2017-02-02,"16:45"
"180","An extra 1.2 million disabled people will need to enter work for the Government to achieve its aim of halving the gap in employment rates between disabled and non-disabled people.   The Work and Pensions Committee s new report calls on the Government to do more to help disabled people into work. Find out more: https://goo.gl/QdjY8F","photo",6,3,7,2017-02-03,"11:00"
"181","What will be the impact of Brexit on the UK s approach to energy and climate change?   The Business  Energy and Industrial Strategy Committee are asking energy companies and conservation groups about the EU emissions cap and energy efficiency.   Watch the session on Tuesday February 7 from 9.30am: https://goo.gl/55OuXf","video",10,2,10,2017-02-03,"17:00"
"182","What do you think the next big issue is in science and technology?   The Science and Technology Committee asked for your ideas for #MyScienceInquiry  and last week the Committee of MPs heard from nine members of the public to find out what they should investigate next. Pitches to the Committee included subjects like human embryo research and science in schools.   Watch the session: https://goo.gl/pkALcT","video",9,0,10,2017-02-04,"11:30"
"183","What is the future of rail franchising? What actions could be taken to encourage new entrants to the market?  The Transport Committee has published a report on rail franchising.","link",4,1,4,2017-02-05,"08:00"
"184","Gain a deeper understanding of how the UK Parliament works including Bills  Select Committees  and the roles of the Speaker and Lord Speaker  by taking our FREE online course. Starts 27 February. Sign Up Now! goo.gl/d4QaxI","link",484,104,514,2017-02-06,"09:30"
"185","Later today  MPs will consider the European Union (Notification of Withdrawal) Bill in a Committee of the whole House. This will take place in the main Chamber and allow all MPs to take part in the debate and to vote on the Bill s contents. When the House sits as a Committee it is chaired by the Chairman of Ways and Means (Deputy Speaker) from a seat at the Table of the House.","link",8,1,9,2017-02-06,"11:25"
"186","Is the National Citizen Service good value for taxpayers  money?   Today at 4pm the Public Accounts Committee will look at the work of the service  set up as part of David Cameron s Big Society agenda and intended to work with teenagers to improve their skills. Watch Committee Chair Meg Hillier introduce the session  and find out more here: https://goo.gl/K33wHg","video",8,0,9,2017-02-06,"12:30"
"187","Statement from Prime Minister Theresa May on last week s informal meeting of the European Council is expected today in the House of Commons at 3.30pm. Watch it live on Parliament TV","link",10,0,11,2017-02-06,"13:00"
"188","Over 100 000 people signed an e-petition calling on the Government to  shut down the domestic ivory trade in the UK . MPs will debate the e-petition in Westminster Hall  led by Luke Hall MP  from 4.30pm and you can watch live on Parliament TV. Find out more","link",15,1,15,2017-02-06,"14:50"
"189","Do you have experience of agency work  being self-employed  working casual hours or in the gig economy? Share your views on the Business  Energy and Industrial Strategy Committee s web forum.   The Committee is investigating how work is changing  and what this means for workers  rights and protections. Workers in the gig economy  like couriers and agency workers  often don t enjoy benefits such as sick pay or the national living wage.  Find out more and add your views: http://www.parliament.uk/world-of-work-forum","video",7,8,9,2017-02-06,"16:00"
"190","Statement from the Secretary of State for Communities and Local Government  Sajid Javid  on the Housing White Paper is expected in the Commons at 12.30pm. Watch it live on Parliament TV","link",13,1,13,2017-02-07,"11:11"
"191","How effective is the Government s strategy to combat childhood obesity?  The Health Committee is hearing from them and Coca-cola from 2.30pm.","link",7,5,7,2017-02-07,"14:20"
"192","Genome editing is a type of genetic engineering involving the replacement of DNA in a cell. What are the social and ethical implications of this rapidly developing area of science?   The Science and Technology Committee is hearing from scientists and experts this morning from 9.30am. Find out more and watch the session: https://goo.gl/87dhB1","video",8,2,8,2017-02-08,"08:30"
"193","Coming up today at midday: Prime Minister Theresa May answers questions from MPs #PMQs","link",16,3,16,2017-02-08,"10:53"
"194","The Prime Minister answered questions from MPs on social care and the NHS  the Housing White Paper and more in the House of Commons on Wednesday 8 February 2017.","video",32,3,33,2017-02-08,"15:53"
"195","Public parks may be at risk by local authority budget cuts. How can we secure a sustainable future for them?  The Communities and Local Government Committee is publishing their report on 11 February.   Find out more: https://goo.gl/417YBP","video",10,1,10,2017-02-08,"17:02"
"196","This week  the Government cancelled the Dubs scheme after it had been running for less than six months. The Home Secretary said that it has not closed  but will she confirm what it said in the statement yesterday: that once those 350 children are here  that is it—it is closed?   - Yvette Cooper  MP for Normanton  Pontefract and Castleford.  MPs question Home Secretary  Amber Rudd  about the closure of the ‘Dubs programme’ for unaccompanied child refugees. Watch in full https://goo.gl/6jizEr","video",34,104,55,2017-02-09,"14:58"
"197","How will Brexit affect the border with the Republic of Ireland?  Tell the Northern Ireland Affairs Committee what you think: https://goo.gl/AI3ckm","video",18,6,19,2017-02-09,"17:06"
"198","On Monday  the Transport Committee questioned Vauxhall and the DVSA on vehicle fires. Watch the full session here: goo.gl/nROpYQ","video",10,6,10,2017-02-10,"08:00"
"199","After the BHS pensions crisis  large private companies should become more transparent.   The Work and Pensions Committee is calling on the Government to require those running private companies to be as accountable as in public companies.   Read the Committee s recommendations: https://goo.gl/wSou6R","video",9,2,9,2017-02-12,"13:00"
"200","Are PMQs an effective way to scrutinise the work of the Government? How do Select Committees work? What might be gained or lost by having an elected House of Lords? Learn and discuss these and many more questions in our FREE short online course  starting 27 February.","link",183,45,189,2017-02-13,"19:00"
"201","At 4.30pm today  the Petitions Committee is holding a debate on a state visit by President Donald Trump  following two petitions on the topic passing the 100 000 signatures needed to confirm a debate. Watch the debate live: https://goo.gl/wIsqkY","link",22,7,24,2017-02-20,"08:00"
"202","HS2 is the project to build a high speed rail line from London to Manchester and Leeds  via Birmingham  the East Midlands  Sheffield and Crewe  to begin operation in 2026 and be completed by 2033.  In May 2010  the Government confirmed its decision to build the new line in two phases. It was later confirmed that Phase 1 would take the line from London to the West Midlands by 2026 while Phase 2 would take the line from the West Midlands to the north of England by 2032-33.  In order for work on Phase 1 to start  the High Speed Rail (London - West Midlands) Bill has to pass through Parliament. MPs are considering Lords Amendments to the Bill later today.","link",30,9,34,2017-02-20,"09:55"
"203","Does the Government do enough to support exports and investment?   Recently the Government told the International Trade Committee it will miss its target of £1 trillion of exports by 2020. The Committee has now launched an investigation into support for trade and investment.   Find out more and submit evidence of your experiences: https://goo.gl/HSJTrv","video",2,3,2,2017-02-20,"17:00"
"204","The shortage of teachers is a major challenge for the education sector in England.  The Education Committee has published its report on the recruitment and retention of teachers.  Read it here: https://goo.gl/dEhHfJ","link",38,18,45,2017-02-21,"08:01"
"205","The Government will fail to achieve its goal of eliminating the gender pay gap in a generation if it continues to ignore the evidence put before it  a group of MPs has said.","link",11,1,13,2017-02-21,"12:18"
"206","At midday today  Prime Minister Theresa May will face questions from MPs during this week s #PMQs.","link",26,1,26,2017-02-22,"08:04"
"207","It will take  decades to optimise  the Government s welfare reforms  former welfare Minister Lord Freud told the Work and Pensions Committee earlier this month.  The Government s welfare reforms have encountered serious problems  and the Committee is investigating how Universal Credit is progressing and what impact it s having on claimants.   Watch the rest of the session  and find out more: https://goo.gl/9438gF","video",11,6,11,2017-02-22,"11:30"
"208","What will Brexit mean for the Isle of Man  Jersey and Guernsey?   Even though these Crown Dependencies govern themselves independently  the UK still represents them on an international level.   The Justice Committee is asking Minister Oliver Heald MP today at 4pm. Watch: https://goo.gl/4nc1WN","link",17,2,17,2017-02-22,"13:00"
"209","In today s #PMQs Prime Minister  Theresa May answered questions from MPs on subjects including; nursing bursaries  new schools funding formula  the Green Investment Bank and the manufacture of vaccines.","video",34,3,36,2017-02-22,"15:48"
"210","Rhys has petitioned the Government to put a limit on the amount a young person can be charged for car insurance.   His petition has more than 150 000 signatures and the Petitions Committee have scheduled it for a debate in Parliament.   Start your own petition here: https://goo.gl/QWXbtb","video",53,27,59,2017-02-22,"17:00"
"211","Parks are at a tipping point  and failure to match their value and the contribution they make with the resources they need to be sustained could have severe consequences.   Read the full report from the Communities and Local Government Committee here: https://goo.gl/IzMERs","photo",8,0,8,2017-02-23,"08:01"
"212","By-elections are taking place today in Copeland and Stoke on Trent Central. Find out how Members of Parliament are elected to the House of Commons in general elections and by-elections.","video",10,0,10,2017-02-23,"11:30"
"213","As MPs question the Minister of State for Security  Ben Wallace  on the case of Jamal al-Harith  Yvette Cooper asks for clarification on whether al-Harith received any payment from the Government. Watch the full video https://goo.gl/g2YzUT","video",6,1,6,2017-02-23,"14:08"
"214","Many fathers want to fulfill their caring responsibilities for their children  what can be done to support them in the workplace?","link",15,1,15,2017-02-23,"17:02"
"215","What can be done to tackle fake news in the UK?  Over the last few years  there have been rising concerns about fake news.   The fear that this might lead the public to be fed propaganda and untruths has been increased by the suggestions that electors in the 2016 US presidential election were subjected to possibly unprecedented amounts of fake news.   Find out more about the inquiry: https://goo.gl/mx25RN","video",14,9,15,2017-02-24,"08:01"
"216","“We consider that the inclusion of Tyson Fury in the shortlist for BBC Sports Personality of the Year was symptomatic of homophobia not being taken seriously enough in sport.   It provides an example of how homophobic abuse is allowed to pass unchallenged too often.”  Read the full report here: https://goo.gl/qcBYU3","photo",8,1,8,2017-02-24,"10:00"
"217","The Government needs to show it can build a third runway at Heathrow without exceeding legal limits on air pollution or breaching our carbon budgets   Find out more about the Environmental Audit Committee s report on Heathrow: https://goo.gl/ZADKpl","link",9,3,9,2017-02-24,"13:00"
"218","How well are companies like Uber  Amazon and Deliveroo supporting their workers?   This week the Work and Pensions Committee heard from these companies as part of their investigation into self-employment and the gig economy. Find out more: https://goo.gl/Nm7iOH","video",12,0,13,2017-02-24,"16:00"
"219","Explore the inner workings of Parliament  including its unique terminology  the part petitions can play in shaping debates  and the role of the Whips  by taking our FREE online course  starting today!","link",17,0,17,2017-02-27,"08:00"
"220","Why are more people going to A&E? The Government s Better Care Fund was set up to put more health money into social care  to prevent people from having to go to hospital.   The Public Accounts Committee is asking what went wrong. Watch the session at 4pm today: https://goo.gl/nafIq7","video",8,4,9,2017-02-27,"12:30"
"221","LBC s Nick Ferrari launched an e-petition calling on the Government to  make it a specific criminal offence to attack any member of NHS Medical Staff.   Following an LBC investigation which found 193 NHS staff were assaulted per day  the e-petition calling for the attacks to be made a specific offence has now received over 116 000 signatures and will debated by MPs at 4.30pm today. #NHSstaffsafety","link",26,4,27,2017-02-27,"13:48"
"222","How can urban congestion be improved? The Transport Committee is questioning business and motoring groups  public transport organisations and the motorcycle industry on urban congestion.   Watch the full session live from 4.05pm here: https://goo.gl/CLj06A","video",1,1,1,2017-02-27,"15:36"
"223","We are very concerned that  despite the significant change in society’s attitudes to homosexuality in the last 30 years  there is little reflection of this progress being seen in football.   Read the committee s full report here: https://goo.gl/qcBYU3","photo",6,3,7,2017-02-27,"17:08"
"224","Over half a million patients  data  including blood test results  cancer screening results  biopsy results  even correspondence relating to cases of child protection  all undelivered. They were languishing in a warehouse on the Secretary of State s watch. It s an absolute scandal  Mr Speaker.   - Shadow Secretary of State for Health  Jon Ashworth.  MPs question the Health Secretary  Jeremy Hunt  on the loss of confidential NHS correspondence by NHS Shared Business Services. Watch the video in full goo.gl/hDFNVf","video",8,3,10,2017-02-27,"18:03"
"225","The Brexit process offers an opportunity to embed equality into law and policy in the UK  says a group of MPs.","link",14,1,14,2017-02-28,"08:33"
"226","After Brexit  what provisions are there for sharing information with the European Union?  Watch live: https://goo.gl/aDYu0z","link",10,4,11,2017-02-28,"10:02"
"227","MPs question the Prisons Minister  Sam Gyimah  on the Prison Officers  Association s instruction to withdraw from voluntary tasks  and the recruitment and retention of prison officers. Watch in full https://goo.gl/u04kKC","video",6,2,6,2017-02-28,"15:07"
"228","Stephen Timms  MP for East Ham  asks why the Government is amending the criteria used to determine the Personal Independence Payments that claimants receive. Watch in full https://goo.gl/u04kKC","video",24,32,30,2017-02-28,"16:02"
"229","We should never forget the prejudice people have faced for just wanting to express who they are.   As LGBT History Month comes to an end  watch Richard Arkless and other MPs debate the importance of equality and tackling discrimination: https://goo.gl/dOZh9a","video",7,4,8,2017-02-28,"16:28"
"230","Prime Minister Theresa May will answer questions from MPs in the House of Commons today at 12. #PMQs","link",24,1,24,2017-03-01,"10:18"
"231","In today s #PMQs Prime Minister  Theresa May answered questions from MPs about Personal Independence Payments   super-strength cider  free schools  community pharmacies and job cuts at Ford Bridgend.","video",34,12,37,2017-03-01,"15:41"
"232","Parks are at a tipping point  and failure to match their value and the contribution they make with the resources they need to be sustained could have severe consequences.","link",12,1,12,2017-03-02,"05:00"
"233","Briefing Note: International Women s Day","status",7,2,7,2017-03-02,"11:50"
"234","International Women’s Day is an opportunity for all of us to use our voices to celebrate the amazing women of the world. It is also our opportunity to send a rallying cry out to the world about the hardships and injustices women everywhere still face. With each passing day  it seems that right now the women out there need to hear us in here and how we support them more than ever before.   - Jess Phillips  MP for Birmingham Yardley  Watch MPs discuss International Women s Day https://goo.gl/WgTu2S","video",13,13,17,2017-03-02,"17:01"
"235","The Foreign Affairs Committee has published its report on the United Kingdom s relations with Russia. Read the full report: https://goo.gl/cWZcdX","link",4,0,4,2017-03-02,"17:45"
"236","Hear about Nicola Thorpe s experience and motivation for starting her petition. Find out more about the petitions process and the actions that the Committees have recommended that the Government should take.","link",7,2,7,2017-03-02,"19:18"
"237","There s still time to sign up for our FREE online course! This week learners are exploring how Parliament and the Government are different and what happens in the Commons and Lords chambers. Join them and get started now!","link",6,1,7,2017-03-03,"11:00"
"238","We want to hear your thoughts on the gender pay gap.   On 26 April the Women and Equalities Committee is questioning Justine Greening  Secretary of State for Women and Equalities.    The MPs on the Committee wants to use your evidence to question the Secretary of State. Can you help?   Share your views: https://goo.gl/YBrx8R","photo",14,7,15,2017-03-03,"16:36"
"239","The Defence sub-Committee has published a report on the Iraq Historic Allegations Team (IHAT).  The report concludes that IHAT has become a seemingly unstoppable self-perpetuating machine  deaf to the concerns of the armed forces  blind to their needs  and profligate with its own resources.  IHAT was set up in 2010 to investigate allegations of abuse by Iraqi civilians against UK armed forces personnel that were said to have occurred between 2003 and 2009. Read the full report on the Defence Committee s website: https://goo.gl/jL7Gmn","video",10,0,10,2017-03-03,"17:45"
"240","The Chancellor should bring forward £1.5bn funding from the improved Better Care Fund to plug the hole in social care funding for the year ahead  the Communities and Local Government Committee has said.   Read the full report here: https://goo.gl/dML97I","video",8,2,8,2017-03-04,"08:00"
"241","Do you have experience of agency work  being self-employed  working casual hours or in the gig economy? Share your views on the Business  Energy and Industrial Strategy Committee s web forum.   The Committee is investigating how work is changing  and what this means for workers  rights and protections. Workers in the gig economy  like couriers and agency workers  often don t enjoy benefits such as sick pay or the national living wage.  Find out more and add your views: http://www.parliament.uk/world-of-work-forum","video",4,1,4,2017-03-04,"12:39"
"242","How will leaving the EU affect the rights of EU nationals living in the UK  and UK nationals living in Europe?  The Committee on Exiting the EU has published its report  read it here: https://goo.gl/iB5bkj","video",109,32,122,2017-03-05,"08:15"
"243","Should women be forced to wear high heels at work?  After Nicola Thorp experienced discrimination at work  she started a petition asking the Government to look at the law. Today MPs are debating her petition on high heels and workplace dress codes.  Watch Nicola explain how she took her issue from a petition to Parliament  and follow the debate live at 4.30pm: https://goo.gl/CN61Lf","video",19,23,22,2017-03-06,"16:08"
"244","How can we reduce waste from coffee cups and plastic bottles that aren t recycled?   The Environmental Audit Committee has launched an inquiry into waste from disposable packaging  looking at its environmental impact and how we can fund re-usable alternatives.   Find out more: https://goo.gl/WlX8Ge  Source: Starbucks/Alliance for Environmental Innovation","link",24,3,25,2017-03-06,"17:30"
"245","The Home Affairs Committee has called on the Government to urgently consult the Independent Anti-Slavery Commissioner on the impact of any changes to the Dubs scheme on trafficking and exploitation of children.  The report also calls on the Government to check and publish the capacity of councils to provide further places for unaccompanied children next year.  Read the full report on Child Migrants here: https://goo.gl/9hZkCy","link",4,0,4,2017-03-07,"12:30"
"246","John Healey  Shadow Housing Secretary  asks the Government about the impact on homelessness of the recent confirmation of Government plans to remove automatic entitlement to housing benefit from 18-21 year olds. Watch the discussion in full https://goo.gl/DrmibP","video",18,5,18,2017-03-07,"15:13"
"247","What are the practical alternatives to prison for people with mental health conditions? The Joint Committee on Human Rights wants to hear your views on mental health and deaths in prison.  If you have any experience of being in prison  or being transferred between a prison and a secure hospital   while having mental health conditions  or if you have a friend or loved one with such experience  the Committee wants to hear from you in its online forum. Have your say here: https://goo.gl/8lH5pp","video",11,2,12,2017-03-07,"18:00"
"248","What does #InternationalWomensDay mean to you?  MPs from the Women and Equalities Committee share their thoughts on what the day means to them.  Find out more about the Committee here: https://goo.gl/26L7sq","video",8,1,8,2017-03-08,"08:24"
